time(sec)	y1	y2
0.001	-0.075	0.432
0.004	-0.044	0.463
0.004	-0.014	0.493
0.005	0.016	0.523
0.006	0.047	0.553
0.007	0.078	0.584
0.007	0.108	0.614
0.008	0.138	0.644
0.009	0.169	0.674
0.009	0.199	0.705
0.010	0.230	0.735
0.011	0.260	0.765
0.012	0.290	0.795
0.014	0.321	0.825
0.015	0.351	0.855
0.016	0.381	0.885
0.018	0.412	0.915
0.019	0.442	0.945
0.020	0.472	0.975
0.022	0.503	1.005
0.023	0.533	1.034
0.024	0.563	1.064
0.025	0.593	1.094
0.026	0.623	1.124
0.027	0.654	1.153
0.028	0.684	1.183
0.030	0.714	1.212
0.031	0.744	1.242
0.032	0.774	1.271
0.034	0.804	1.301
0.035	0.834	1.330
0.036	0.864	1.359
0.037	0.894	1.389
0.038	0.923	1.418
0.038	0.953	1.447
0.039	0.983	1.476
0.040	1.013	1.505
0.041	1.043	1.534
0.042	1.072	1.563
0.042	1.102	1.592
0.043	1.131	1.620
0.044	1.161	1.649
0.046	1.190	1.678
0.047	1.220	1.706
0.048	1.249	1.735
0.049	1.278	1.763
0.050	1.307	1.792
0.051	1.337	1.820
0.051	1.366	1.848
0.052	1.395	1.876
0.053	1.424	1.905
0.054	1.453	1.933
0.054	1.482	1.961
0.055	1.511	1.988
0.056	1.539	2.016
0.057	1.568	2.044
0.058	1.597	2.071
0.059	1.625	2.099
0.060	1.654	2.126
0.060	1.682	2.154
0.062	1.711	2.181
0.063	1.739	2.208
0.064	1.767	2.235
0.066	1.795	2.262
0.067	1.823	2.289
0.068	1.851	2.316
0.069	1.879	2.343
0.071	1.907	2.370
0.072	1.935	2.396
0.073	1.962	2.423
0.074	1.990	2.449
0.076	2.018	2.475
0.077	2.045	2.502
0.079	2.073	2.528
0.080	2.100	2.554
0.083	2.127	2.580
0.085	2.154	2.605
0.088	2.181	2.631
0.089	2.208	2.657
0.090	2.235	2.682
0.091	2.262	2.707
0.091	2.288	2.733
0.092	2.315	2.758
0.093	2.341	2.783
0.094	2.368	2.808
0.095	2.394	2.833
0.097	2.420	2.857
0.098	2.446	2.882
0.099	2.472	2.907
0.100	2.498	2.931
0.101	2.524	2.955
0.102	2.550	2.979
0.104	2.575	3.003
0.105	2.601	3.027
0.106	2.626	3.051
0.107	2.651	3.075
0.107	2.676	3.098
0.108	2.701	3.122
0.109	2.726	3.145
0.110	2.751	3.168
0.112	2.776	3.191
0.113	2.801	3.214
0.114	2.825	3.237
0.115	2.849	3.260
0.117	2.874	3.282
0.117	2.898	3.305
0.118	2.922	3.327
0.119	2.946	3.349
0.120	2.969	3.371
0.121	2.993	3.393
0.122	3.017	3.415
0.123	3.040	3.437
0.125	3.063	3.458
0.126	3.086	3.479
0.126	3.110	3.501
0.128	3.132	3.522
0.130	3.155	3.543
0.131	3.178	3.563
0.132	3.200	3.584
0.134	3.223	3.605
